category,name,url,imagePath,comment,score,reviewCount,kind,alcoholDegree,capacity,tastePoint,foodsPoint,specialPoint,foods,sweetFlavor,sourFlavor,bodyFlavor,carbonicFlavor,tanninFlavor
"chungju","잣진주","https://www.sooldamhwa.com/damhwaMarket/detail/1550","images/chungju_0.jpg","가평의 잣 풍미를 한가득 느낄 수 있는 술",0,0,"약주","16%","375ml","","","","",3,3,4,-1,3
"chungju","고흥 유자주 8%","https://www.sooldamhwa.com/damhwaMarket/detail/194","images/chungju_1.jpg","달달한 유자향 한 가득",4.9,424,"살균약주","8.00%","500ml","유자차처럼 달콤한 맛을 지닌 달콤고소한 약주","디저트 타임 때 딱! 어울리는 술","고흥하면 유자! 유자하면 고흥!","오일 파스타,크림 새우,탕수육",4,3,2,-1,1
"chungju","동학 1957","https://www.sooldamhwa.com/damhwaMarket/detail/1241","images/chungju_2.jpg","평창동계올림픽 공식 판매주로 선정된 우리 쌀로 빚은 청주",4.8,320,"청주","13.00%","375ml","갓 지은 밥의 구수한 풍미를 느낄 수 있어요","집에 있는 반찬들과 반주로 즐겨보세요","평창동계올림픽의 공식 판매주로 선정된 우리 쌀로 만든 청주","들깨수제비,궁중 떡볶이,된장찌개",2,4,2,-1,3
"chungju","토박이 한산 소곡주","https://www.sooldamhwa.com/damhwaMarket/detail/257","images/chungju_3.jpg","한 번 마시면 멈출 수 없는 맛",4.8,318,"약주","16.00%","500ml, 750ml, 1000ml,1500ml, 1800ml","진득한 달콤함과 구수한 풍미의 훌륭한 균형","달콤한 술엔 매콤한 음식이죠!","한 번 마시면 멈출 수 없는 앉은뱅이 술","샤브샤브,제육 볶음,약과",4,2,4,-1,3
"chungju","우렁이쌀 청주","https://www.sooldamhwa.com/damhwaMarket/detail/148","images/chungju_4.jpg","우렁이 농법으로 재배한 쌀로 빚은 청주예요",4.9,262,"청주","14.00%","500ml","쌀 본연의 은은한 단맛을 느껴보세요","비릿할 수 있는 음식의 맛을 잡아줘요","우렁이농법으로 재배한 쌀로 만든 청주","민어탕,수육,갈치조림",2,1,3,-1,2
"chungju","솔송주","https://www.sooldamhwa.com/damhwaMarket/detail/93","images/chungju_5.jpg","소나무의 송순과 지리산 맑은 물로 빚은 약주",4.7,217,"살균약주","13.00%","375ml","달지않고 시원하게 넘어가는 약주","바다내음 가득한 해산물요리에 시원한 솔향을 곁들여봐요","선비의 술","배추전,문어 숙회,전복간장조림",1,3,2,-1,2
"chungju","서설","https://www.sooldamhwa.com/damhwaMarket/detail/1187","images/chungju_6.jpg","상서로운 눈이라는 뜻을 가졌어요",4.8,131,"청주","13.00%","375ml","물처럼 깔끔한 목넘김을 가졌어요","술맛처럼 담백한 음식과 드셔보세요","술샘과 경기도 농업기술원이 협업하여 만든 술","광어회,어묵전골,나가사키 짬뽕",2,1,1,-1,2
"chungju","궁중술 왕주","https://www.sooldamhwa.com/damhwaMarket/detail/1051","images/chungju_7.jpg","왕실에서 비밀스럽게 전수된 궁중비법으로 빚은 술",4.9,147,"살균약주","13.00%","375ml","상큼하고 구수한 향과 가벼운 단맛이 느껴져요","달짝지근한 맛이 감도는 간장 베이스 음식과 함께 해보세요","구기자, 국화, 솔잎이 들어간 살균 약주","바지락 술찜,불고기,찜닭",3,3,3,-1,2
"chungju","청명주 약주 17%","https://www.sooldamhwa.com/damhwaMarket/detail/116","images/chungju_8.jpg","맑은 하늘에 청명주 한 잔 곁들이기 좋잖아요",4.9,96,"약주","17.00%","375ml, 500ml","새콤 달콤한 맛에 상큼한 과실향이 더해졌어요","매콤한 생선 요리들과 즐겨보세요","청명일에 빚는 저온 장기 숙성 약주","매운탕,고등어 김치찜,어죽",3,4,3,-1,2
"chungju","[릴레이특가] 단상지교","https://www.sooldamhwa.com/damhwaMarket/detail/197","images/chungju_9.jpg","대전 유씨종가의 정갈한 맛과 디자인을 갖춘 약주",4.8,85,"약주","16.00%","750ml","묵직한 구수함과 진득하게 달콤한 맛","풍미가 강한 음식들과 즐겨 보세요","지장수 물을 사용해 만든 유씨종가의 가양주","굴비,양념갈비,빈대떡",2,3,4,-1,3
"chungju","니모메","https://www.sooldamhwa.com/damhwaMarket/detail/130","images/chungju_10.jpg","'너의 마음에'란 말의 제주 방언이에요",4.7,75,"살균약주","11.00%","375ml","곡물의 고소함과 귤피의 씁쓸함이 돋보이는 약주","간장 양념이 들어간 음식과 달짝지근하게 즐겨보세요","상대방의 마음에 천천히 다가가 보세요","동파육,보쌈,초밥",4,2,2,-1,4
"chungju","일월삼주-이주","https://www.sooldamhwa.com/damhwaMarket/detail/1573","images/chungju_11.jpg","상큼함과 과일 풍미가 느껴져요",5,2,"약주","14.2%","350ml","","","","",-1,-1,-1,-1,-1
"chungju","술아 국화주","https://www.sooldamhwa.com/damhwaMarket/detail/147","images/chungju_12.jpg","국화로 빚은 긴 여운의 과하주",4.8,120,"약주","15.00%","375ml","국화 풍미 가득 담긴 달콤한 ‘과하주’","느끼함은 잡아주고 달콤함은 배가 되고!","발효주에 증류주를 더하다","약과,산적 꼬치,돼지고기 김치찜",4,2,4,-1,2
"chungju","매화깊은밤","https://www.sooldamhwa.com/damhwaMarket/detail/1203","images/chungju_13.jpg","매실의 달콤함에 빠져버린 아름다운 밤이에요~",4.9,71,"살균약주","8.00%","375ml","끈적임 없이 깔끔하게 넘어가는 매실의 달콤함","진한 풍미의 음식과 잘 어울려요","직접 만든 매실청이 들어갔어요","차돌박이 숙주 볶음,시저 샐러드,백순대 볶음",4,3,2,-1,3
"chungju","면천 두견주 [2병/4병]","https://www.sooldamhwa.com/damhwaMarket/detail/64","images/chungju_14.jpg","진달래를 넣어 빚은 전설 속의 약주",4.7,85,"약주","18.00%","360ml, 700ml","농밀한 꿀 같은 단맛","양념이 강하지 않은 음식과 담백하게 즐겨보세요","부드러운 목넘김 뒤에 알싸하게 남는 매콤함이 인상적","화전,두부,월남쌈",4,2,4,-1,3
"chungju","능이주","https://www.sooldamhwa.com/damhwaMarket/detail/304","images/chungju_15.jpg","눈 감고 마시면 ‘화이트 와인’으로 알아유~",4.8,78,"살균약주","13.00%","375ml","강하지만, 부드러운 산미가 돋보이는 술","음식 가리지 말고! 다양한 음식과 화합의 장을 열어보세요!","올림픽 만찬주로 선정된 '일품 능이'이어라~","막창,시래기 무침,족발",1,4,3,-1,2
"chungju","홍삼명주","https://www.sooldamhwa.com/damhwaMarket/detail/76","images/chungju_16.jpg","살아 있는 기운 한 모금",4.9,67,"기타주류","14.00%","375ml, 500ml","몸을 따뜻하게 데워주는 달콤씁쓸한 홍삼 술","삼계탕 먹다보면 자연스레 떠오를걸요?","1년 이상의 시간과 정성이 담긴 진짜 홍삼주","닭볶음탕,녹두전,삼계탕",2,4,2,-1,4
"chungju","한청","https://www.sooldamhwa.com/damhwaMarket/detail/1050","images/chungju_17.jpg","일본 사케에 대항할 우리나라의 청주에요",4.9,74,"청주","15.00%","700ml","단맛과 산미가 전체적으로 옅게 느껴져요","새콤달콤한 음식과 즐겨보세요","철원 오대쌀과 토종 효모로 만든 우리나라 청주에요","비빔면,유부초밥,동치미막국수",3,3,3,-1,2
"chungju","우포","https://www.sooldamhwa.com/damhwaMarket/detail/1178","images/chungju_18.jpg","창녕의 특산물 양파가 들어간 달콤한 술이에요",4.7,49,"살균약주","12.00%","500ml","달콤하면서도 누룽지같이 고소한 끝 맛","달콤 짭짤한 양념이 배어있는 음식과 즐겨보세요","국내 최초 양파를 넣어 만든 술","양념 치킨,간장 불고기,고구마 맛탕",3,2,2,-1,2
"chungju","삼양춘 청주","https://www.sooldamhwa.com/damhwaMarket/detail/231","images/chungju_19.jpg","사케 좋아하시나요? 이제는 이 술로 대신하세요.",4.9,53,"청주","15.00%","500ml","복합적인 과실 향 뒤에 올라오는 담백하고 깔끔한 맛","담백하고 깔끔한 ‘일식’이 저절로 생각날 거에요","입국을 이용하여 빚은 우리나라 맑은 술","과일치즈,조개찜,연어초밥",3,3,3,-1,3
"chungju","천비향 약주","https://www.sooldamhwa.com/damhwaMarket/detail/87","images/chungju_20.jpg","연예인도 마셨던 ‘천년 비밀의 향’을 간직한 술!",4.9,36,"약주","16.00%","375ml, 500ml","깊고 진한 쌀의 단맛을 느껴보세요","달짝지근한 양념이 곁들여진 음식과 함께해보세요","정성, 맛, 화제성까지 고루 갖춘 HOT한 전통주!","소고기 안심,찜닭,비빔면",5,3,4,-1,2
