category,name,url,imagePath,comment,score,reviewCount,kind,alcoholDegree,capacity,tastePoint,foodsPoint,specialPoint,foods,sweetFlavor,sourFlavor,bodyFlavor,carbonicFlavor,tanninFlavor
"soju","매실원주","https://www.sooldamhwa.com/damhwaMarket/detail/77","images/soju_0.jpg","맛있게 한잔하고 싶은 날에 찾아주세요",4.8,598,"리큐르","13.00%","375ml","달달구리하게 한잔하고 싶을 때 찾아주세요!","식전주, 식후주. 언제 어디서든 맛있게 즐겨보세요","황매실로 인정받은 뛰어난 맛과 향의 매실주","골뱅이 소면 무침,카프레제,냉채 족발",3,-1,3,-1,-1
"soju","추사 40%","https://www.sooldamhwa.com/damhwaMarket/detail/81","images/soju_1.jpg","사과 와인을 증류하여 오크통에 숙성한 브랜디",4.9,429,"일반증류주","40.00%","200ml, 500ml","스모키한 오크향과 달콤한 사과향을 천천히 음미해보세요","풍미 짙은 음식과 심플하면서도 화려하게 즐겨보세요","추사 김정희 선생의 삶과 정신을 이어받은 사과 증류주","육포,견과류,크래커",-1,-1,4,-1,-1
"soju","서울의 밤 25%","https://www.sooldamhwa.com/damhwaMarket/detail/70","images/soju_2.jpg","늦은 밤, 어느 안주와도 어울리는 술",4.7,451,"리큐르","25.00%","375ml","‘깔끔하다’라는 표현이 이보다 더 잘 어울리는 술이 있을까요?","생선회와 함께하여 극강의 깔끔함을 느껴보세요","황매실과 노간주 열매를 증류하여 만든 한국식 진(GIN)","샤브샤브,광어회,주꾸미 볶음",1,-1,2,-1,-1
"soju","겨울소주 25%","https://www.sooldamhwa.com/damhwaMarket/detail/202","images/soju_3.jpg","겨울소주 1병, 희석식 소주 10병 안 부럽다",4.8,310,"증류식소주","25.00%","360ml","역한 맛 없이, 부드럽고 깔끔한 소주!","취향에 맞게 다양한 음식과 즐겨보세요","겨울에서 다시 겨울로, 1년을 기다린 증류주","매운탕,삼겹살,오돌뼈",-1,-1,3,-1,-1
"soju","안동소주 일품 40% 골드","https://www.sooldamhwa.com/damhwaMarket/detail/1092","images/soju_4.jpg","안동소주 일품 시리즈의 끝판왕 ‘골드’",4.9,278,"증류식소주","40.00%","500ml","쌀의 짜릿한 감칠맛을 느낄 수 있어요","기름진 음식의 느끼한 맛을 싸-악 잡아줘요","오크통에 숙성된 술과 블랜딩한 증류주","고등어구이,산적 꼬치,삼겹살",-1,-1,4,-1,-1
"soju","왕율주 40% X 4병","https://www.sooldamhwa.com/damhwaMarket/detail/1549","images/soju_5.jpg","마시다 보면 "밤"새 더라구요",0,0,"일반증류주","40%","360ml","","","","",-1,-1,4,-1,-1
"soju","Persimmon Vodka(감 보드카)","https://www.sooldamhwa.com/damhwaMarket/detail/1547","images/soju_6.jpg","가을 낙엽 닮은 달콤한 향을 지닌 감 보드카",0,0,"일반증류주","32%","375ml","","","","",-1,-1,3,-1,-1
"soju","꿀샘16","https://www.sooldamhwa.com/damhwaMarket/detail/254","images/soju_7.jpg","꿀처럼 몸이 편안하게 스르륵...",4.8,172,"리큐르","16.00%","375ml","달콤하고 부드러운 꿀맛","디저트와도 좋고, 풍미 짙은 음식과도 잘 어울려요","인류 최초의 술, 미드","고르곤졸라 피자,브루스케타,떡꼬치",4,-1,3,-1,-1
"soju","문경바람 오크 40%","https://www.sooldamhwa.com/damhwaMarket/detail/89","images/soju_8.jpg","사과로 만들어 300일 이상 숙성한 사과 브랜디",4.7,158,"일반증류주","40.00%","375ml","중후한 사과의 풍미를 잔잔하게 느껴보세요","생선회 한점과 온더락 한 모금의 여유를 만끽해보세요","사과가 무려 7개!","육포,견과류,초콜릿",-1,-1,4,-1,-1
"soju","모리","https://www.sooldamhwa.com/damhwaMarket/detail/1065","images/soju_9.jpg","오크 숙성으로 중후한 풍미를 더한 보리 소주",4.7,118,"증류식소주","19.00%","375ml","은은한 바닐라 향이 나면서 자극적이지 않은 맛이에요","해산물 요리와 함께하기 좋아요","국내산 찰보리를 자체 도정하여 오크 숙성한 증류주","버섯 전골,굴,오징어 숙회",-1,-1,3,-1,-1
"soju","추사백 25%","https://www.sooldamhwa.com/damhwaMarket/detail/1063","images/soju_10.jpg","맑고 부드러운 사과 증류주",4.8,125,"일반증류주","25.00%","350ml","맑고 부드러운 사과의 풍미와 약간의 작열감을 천천히 느껴보세요","기름진 육류 음식도 이젠, 깔끔하게 즐겨보세요","추사 김정희 선생의 삶과 정신을 이어받은 사과 증류주","샤브샤브,보쌈,양꼬치",-1,-1,3,-1,-1
"soju","문배술 40%","https://www.sooldamhwa.com/damhwaMarket/detail/162","images/soju_11.jpg","화려한 문배향이 나를 감싸네",4.9,121,"증류식소주","40.00%","200ml","향기롭고 달콤한 꽃향에 빠져보세요","복합적인 재료와 향이 있는 요리와 마셔보세요","조와 수수를 사용해 만든 감압증류 소주","동파육,홍어 무침,중국식 냉채",-1,-1,4,-1,-1
"soju","금설","https://www.sooldamhwa.com/damhwaMarket/detail/1049","images/soju_12.jpg","이젠, 분위기에도 증류주에요!",4.9,91,"일반증류주","35.00%","375ml","달짝지근한 풍미에 매운맛이 추가됐어요","구수하면서도 달짝지근한 요리와 함께 해보세요","식용 금박이 들어간 구수한 소주","버섯 전골,삼계탕,농어회",-1,-1,4,-1,-1
