category,name,url,imagePath,comment,score,reviewCount,kind,alcoholDegree,capacity,tastePoint,foodsPoint,specialPoint,foods,sweetFlavor,sourFlavor,bodyFlavor,carbonicFlavor,tanninFlavor
"takju","막쿠르트","https://www.sooldamhwa.com/damhwaMarket/detail/1331","images/takju_0.jpg","세 살 야쿠르트, 여든까지 막쿠르트",4.7,703,"기타주류","6.00%","450ml","","","","과일치즈,마라샹궈,떡볶이",-1,-1,-1,-1,-1
"takju","담은 [3병/6병/10병]","https://www.sooldamhwa.com/damhwaMarket/detail/133","images/takju_1.jpg","마음을 담은 한잔",4.8,562,"탁주","6.50%","750ml","우유같이 부드러운 단맛","매콤한 음식과 즐겨보세요!","생쌀을 발효한 프리미엄 막걸리","닭볶음탕,돼지고기 김치찜,떡볶이",4,2,3,0,1
"takju","붉은 원숭이","https://www.sooldamhwa.com/damhwaMarket/detail/153","images/takju_2.jpg","빨간맛, 궁금해 Monkey",4.7,154,"살균탁주","10.80%","375ml","카스테라 같이 부드럽고 달콤한 맛","가벼운 안주류와 편하게 즐겨보세요","홍국쌀로 만든 붉은색 막걸리","견과류,치즈 케이크,크래커",3,2,4,0,2
"takju","백련 미스티 살균 막걸리","https://www.sooldamhwa.com/damhwaMarket/detail/1093","images/takju_3.jpg","연꽃이 들어간 살균 막걸리",4.8,179,"살균탁주","7.00%","375ml","달콤함, 산미, 고소한 맛이 은은하게 느껴져요","대부분의 음식과 잘 어울려요","당진 해나루 쌀로 3번 빚은 옹기 발효 막걸리","순대 볶음,감자전,갈비찜",3,2,3,0,1
"takju","복순도가 손 막걸리 X 3병","https://www.sooldamhwa.com/damhwaMarket/detail/135","images/takju_4.jpg","막페인의 원조, 스파클링 막걸리",4.9,178,"탁주","6.50%","935ml","입 안에 톡톡 터지는 탄산과 함께 느껴지는 새콤달콤한 맛","기름진 음식과 페어링하기 좋아요","천연탄산이 가득 녹아있는 막걸리계의 샴페인","수육,짜장면,해물 파전",4,4,2,5,2
"takju","나루 생 막걸리 6% [3병/6병]","https://www.sooldamhwa.com/damhwaMarket/detail/279","images/takju_5.jpg","서울의 경복궁 쌀로 빚은 첫 번째 지역 특산주 막걸리",4.8,96,"탁주","6.00%","800ml","멜론같은 과실향과 은은한 단맛","담백하거나 풍부한 맛의 육류와 즐겨보세요","서울의 지역 특산물인 경복궁 쌀을 이용한 탁주","육포,크래커,햄",4,2,2,0,1
"takju","일월삼주-일주142","https://www.sooldamhwa.com/damhwaMarket/detail/1572","images/takju_6.jpg","찹쌀 순곡주의 부드러운 산미를 느껴봐요",5,2,"탁주","14.2%","350ml","","","","",-1,-1,-1,-1,-1
"takju","술취한 원숭이 X 4병","https://www.sooldamhwa.com/damhwaMarket/detail/75","images/takju_7.jpg","빨간맛, 궁금해 Monkey",4.6,64,"탁주","10.80%","375ml","요구르트 같이 새콤달콤한 맛","단짠단짠 음식들과 함께라면 뭔들...!","홍국 쌀로 만든 붉은색 막걸리","떡갈비,불고기,양념 치킨",3,2,4,0,2
"takju","얼떨결에 퍼플 X 3병","https://www.sooldamhwa.com/damhwaMarket/detail/1189","images/takju_8.jpg","얼떨결에 마셔봤는데... 너무 맛있잖아?",4.8,62,"탁주","6.00%","935ml","입안을 스며드는 포도의 새콤달콤함","치즈가 들어간 음식과 즐겨보세요","술의 산미와 바디감을 조절해 주는 찰보리의 역할","까르보나라,맥앤치즈,피자",3,4,2,4,1
"takju","담은 블랙 [3병/6병10병]","https://www.sooldamhwa.com/damhwaMarket/detail/1234","images/takju_9.jpg","구름을 담은 듯한 막걸리, 이번엔 흑미 버전이에요!",4.8,65,"탁주","6.50%","750ml","초코 우유를 마신 듯한 부드러운 달콤함","매운 음식과 찰떡궁합","흑미와 백미를 혼합해서 만들어요","낙지 볶음,불닭볶음면,떡볶이",3,2,3,0,1
"takju","구름을 벗삼아 [10병/12병]","https://www.sooldamhwa.com/damhwaMarket/detail/141","images/takju_10.jpg","구름처럼 부드럽고 달콤한 막걸리",4.7,94,"탁주","6.00%","500ml, 750ml","부드럽고 시원하게 넘어가는 단맛","매콤한 음식과 마시기 좋아요","햇찹쌀, 전통누룩, 천연 암반수로 빚은 술","닭볶음탕,낙지 볶음,감자전",4,2,3,3,1
"takju","설하담 X 2병","https://www.sooldamhwa.com/damhwaMarket/detail/346","images/takju_11.jpg","부산에서 만든 프리미엄 무첨가물 막걸리",4.7,63,"탁주","7.00%","940ml","요거트를 마신 듯한 새콤달콤함","매콤하고 짭조름한 음식과 함께해보세요","쌀 함량을 높여 쌀 본연의 단맛을 끌어올렸어요","낙지 볶음,제육 볶음,찜닭",2,4,4,3,1
"takju","술공방 9.0 X 3병","https://www.sooldamhwa.com/damhwaMarket/detail/198","images/takju_12.jpg","자연주의 스파클링막걸리",4.5,68,"탁주","9.00%","500ml","풋사과의 산뜻한 향과 입안을 가득 채우는 쌀의 담백한 맛","매운 음식과 페어링 해보세요","발효기간을 길게 하여 나는 깊은 맛","닭발,마라탕,돼지갈비 찜",2,4,5,3,1
"takju","삼양춘 탁주","https://www.sooldamhwa.com/damhwaMarket/detail/72","images/takju_13.jpg","인천 송도의 명물, 세 번 빚어 만든 귀한 탁주",4.6,44,"탁주","12.50%","500ml","단맛, 신맛, 씁쓸한 맛의 완벽 밸런스","어느 음식이랑도 무난한 궁합을 보여줘요","오랜 시간 발효와 숙성을 시킨 프리미엄 삼양주","해물 라면,코다리찜,해물 파전",3,2,4,0,2
"takju","자연담은 복분자 막걸리 4병 세트","https://www.sooldamhwa.com/damhwaMarket/detail/1201","images/takju_14.jpg","생쌀 발효를 거쳐 만든 복분자 막걸리",4.9,54,"살균탁주","6.00%","360ml","복분자의 달콤함이 입안에서 녹아내려요","보양식과 함께 즐겨보세요","생쌀을 발효시켜 만들어요","전복 버터구이,삼계탕,장어구이",4,2,2,0,1
"takju","대대포 블루","https://www.sooldamhwa.com/damhwaMarket/detail/1052","images/takju_15.jpg","벌꿀이 녹아 있는 가볍고 달콤한 막걸리",4.8,40,"탁주","6.00%","600ml","질리지 않는 깔끔한 단맛","매콤달콤한 음식들과 즐기기 좋아요","친환경 유기농 쌀과 벌꿀을 넣어 만든 술","양념 치킨,불닭볶음면,떡볶이",3,2,2,0,1
"takju","문삼이공 잣","https://www.sooldamhwa.com/damhwaMarket/detail/275","images/takju_16.jpg","황잣을 사용해서 더욱 구수한",4.7,43,"탁주","12.00%","500ml","담백하고 부드러운 단맛에 은은하게 느껴지는 잣 향","담백하면서도 감칠맛 있는 음식과 즐겨보세요","홍천의 황잣이 들어간 무첨가물 탁주","순대,불고기,떡볶이",4,3,4,0,3
"takju","지란지교 무화과 탁주","https://www.sooldamhwa.com/damhwaMarket/detail/1102","images/takju_17.jpg","국내 최초 무화과가 들어간 수제 막걸리",4.8,29,"탁주","12.00%","500ml","새콤한 맛에 무화과 특유의 단맛이 들어 있어요","매콤한 요리와 즐기면 베스트!","순창의 무화과를 넣어 만든 수제 막걸리","불족발,곱창,훈제오리 냉채",4,3,4,0,2
"takju","편백숲 산소막걸리 딸기 스파클링","https://www.sooldamhwa.com/damhwaMarket/detail/292","images/takju_18.jpg","딸기를 넣어 빚은 톡톡 튀는 스파클링 막걸리",4.5,36,"탁주","6.80%","940ml","톡톡 튀는 탄산과 함께 입안을 싱그럽게 감싸는 새콤한 딸기 맛","기름지거나 특유의 향이 있는 음식과 드셔보세요","저온 장기발효를 시켜 천연 과실향을 구현한 술","삼겹살,양고기,홍어 무침",4,4,3,5,2
"takju","나루 생 막걸리 11.5% [3병/8병]","https://www.sooldamhwa.com/damhwaMarket/detail/320","images/takju_19.jpg","깊고 묵직한 단맛의 막걸리",4.8,39,"탁주","11.50%","500ml","참외나 메론 같은 묵직한 단맛의 풍미","기름진 음식의 느끼함을 잡아줘요","서울의 지역 특산물인 경복궁 쌀을 이용한 탁주","튀김,생크림 케이크,고기 만두",5,2,4,0,2
"takju","별산 막걸리 [3병/5병]","https://www.sooldamhwa.com/damhwaMarket/detail/362","images/takju_20.jpg","너 정말 특별한 산미를 가졌구나?",4.9,38,"탁주","6.50%","800ml","요구르트 향과 새콤달콤한 맛","매콤한 음식들과 즐겨보세요","식초균을 넣어 만든 특별한 산미","오징어 초무침,주꾸미 볶음,양념 치킨",4,4,4,0,1
"takju","포그막 X 2병","https://www.sooldamhwa.com/damhwaMarket/detail/1523","images/takju_21.jpg","안개꽃이 만개한 것처럼 입안 가득 채워주는 부드러움을 느껴보세요",5,6,"탁주","10%","500ml","꾸덕한 요거트를 마신 듯한 새콤함","과일을 곁들어서 요거트처럼 즐겨보세요","물을 타지 않은 원주 그대로의 술","과일 샐러드,바질 파스타,토스트",4,4,4,0,2
"takju","우도 땅콩 전통주","https://www.sooldamhwa.com/damhwaMarket/detail/117","images/takju_22.jpg","우도산 땅콩이 들어간 막걸리",4.6,34,"기타주류","6.00%","750ml","땅콩버터향과 함께하는 달콤한 맛","해물 요리와 즐겨보세요!","땅콩분을 넣어 만든 살균 막걸리","아귀찜,성게보말국,해물찜",3,3,3,0,1
"takju","오산 막걸리 [3병/12병]","https://www.sooldamhwa.com/damhwaMarket/detail/240","images/takju_23.jpg","플레인 요거트 같은 가벼운 막걸리",4.7,38,"탁주","6.00%","500ml","옅은 곡물향과 함께하는 단맛과 묵직함","가벼운 안주류와 즐겨보세요","오산 세마쌀을 사용한 무첨가 막걸리","김치전,계란말이,견과류",2,2,4,0,2
"takju","세종 알밤주","https://www.sooldamhwa.com/damhwaMarket/detail/126","images/takju_24.jpg","알밤향이 풍부하게 올라오는 막걸리",4.8,30,"기타주류","6.00%","750ml","알밤의 구수한 향과 달콤한 맛","기름진 중국음식과 즐겨보세요","알밤분을 넣어 만든 살균 막걸리","소 불고기,군만두,중국식 냉채",4,2,3,0,1
"takju","호호","https://www.sooldamhwa.com/damhwaMarket/detail/1352","images/takju_25.jpg","마시는 순간 호호~ 웃음이 절로 나오는 부드러운 단호박 막걸리",4.3,20,"탁주","9.00%","375ml","부드러운 질감과 구수함이 마치 호박죽을 떠올리게 해요","수분감 넘치는 음식과 드셔보세요","항아리 숙성까지 거친 단호박 막걸리","버섯 전골,단호박 오리 찜,뚝배기 불고기",3,3,3,0,2
"takju","우주멜론미 X 3병","https://www.sooldamhwa.com/damhwaMarket/detail/1345","images/takju_26.jpg","곡성의 머스크멜론으로 만든 달달한 스파클링 멜론 막걸리",4.3,25,"탁주","5.00%","300ml","멜론의 말랑말랑한 과육을 한 입 깨문 듯한 달콤함","가벼운 술맛처럼 간편하게 먹을 수 있는 안주와 함께 해보세요","우주멜론미의 맛이 우주 저 끝까지 펼쳐지도록~!","과일 샐러드,카나페,애플 파이",4,1,1,4,1
"takju","부자 막걸리 10%","https://www.sooldamhwa.com/damhwaMarket/detail/1257","images/takju_27.jpg","배혜정도가에서 출시한 국내 최초 유리병 막걸리",4.8,18,"살균탁주","10.00%","375ml","새콤한 산미 뒤에 은은하게 올라오는 누룩 풍미","짙은 풍미의 음식과 함께라면 더할 나위 없을 거예요","국내에서 최초로 생산된 유리병 막걸리","녹두전,순대 볶음,나가사키 짬뽕",2,4,4,0,2
"takju","희양산막걸리 9% X 3병","https://www.sooldamhwa.com/damhwaMarket/detail/1207","images/takju_28.jpg","막걸리 라벨도 예술 작품처럼 감상해보세요!",4.7,34,"탁주","9.00%","650ml","시원한 목 넘김과 산뜻한 산미를 가진 막걸리","양념치킨처럼 튀긴 후 양념된 음식과 드셔보세요","한 달 동안 저온 숙성을 거친 이양주","탕수육,칠리 새우,양념 치킨",1,3,2,0,2
"takju","오미자 생 막걸리 X 10병","https://www.sooldamhwa.com/damhwaMarket/detail/139","images/takju_29.jpg","핑크빛 인생을 위한 오미자 막걸리",4.7,40,"탁주","6.50%","500ml","오미자의 새콤달콤한 맛과 상큼한 향","기름진 음식과 즐겨보세요","처음으로 출시된 한국 과실 막걸리","수육,모듬전,두부부침",3,3,2,3,1
"takju","너디 호프 (드라이)","https://www.sooldamhwa.com/damhwaMarket/detail/1378","images/takju_30.jpg","콜드브루 방식으로 바질 풍미를 가득 끌어 올린 막걸리",4.9,13,"탁주","5%","700ml","가벼운 바디감을 갖고 있는 새콤달콤한 막걸리","식전주로 즐겨보세요","상주에서 재배한 바질이 들어갔어요","카프레제,닭가슴살 샐러드,페퍼로니 피자",3,4,3,0,2
"takju","배금도가 수제 막걸리","https://www.sooldamhwa.com/damhwaMarket/detail/1198","images/takju_31.jpg","수제 누룩으로 만든 술",4.9,19,"탁주","12.00%","500ml, 1000ml","산미 마니아 분들께 추천드려요","기름진 음식과 즐겨보세요","직접 디딘 누룩으로 빚은 술이랍니다","막창,돼지껍데기,통닭 구이",2,4,4,0,2
