category,name,url,imagePath,comment,score,reviewCount,kind,alcoholDegree,capacity,tastePoint,foodsPoint,specialPoint,foods,sweetFlavor,sourFlavor,bodyFlavor,carbonicFlavor,tanninFlavor
"wine","혼디주","https://www.sooldamhwa.com/damhwaMarket/detail/224","images/wine_0.jpg","100% 서귀포 감귤을 사용해 만든 감귤주",4.7,275,"과실주","12.00%","330ml","감귤 계열의 새콤한 향과 달콤한 맛","재료 본연의 맛이 느껴지는 음식과 잘 어울려요","높은 당도를 가진 신례리 감귤로 만든 과실주","과일 샐러드,밀푀유나베,생선회",3,4,3,0,0
"wine","고도리 샤인머스캣 와인 (망고포도)","https://www.sooldamhwa.com/damhwaMarket/detail/1094","images/wine_1.jpg","달콤한 망고포도로 만든 화이트 와인",4.9,207,"과실주","10.50%","375ml, 750ml","식욕을 자극하는 새콤달콤한 와인이에요","브런치와 함께 식욕과, 분위기, 맛 모두 잡아보세요","달콤한 샤인머스캣으로 만든 와인이에요","바질 파스타,토스트,루꼴라피자",4,3,3,0,0
"wine","고도리 복숭아 와인","https://www.sooldamhwa.com/damhwaMarket/detail/190","images/wine_2.jpg","뭐야? 주스가 아니라 술이였어?",4.8,163,"과실주","6.50%","375ml, 750ml","가벼운 단맛과 함께 톡 쏘는 새콤한 맛","담백한 생선 요리와 즐겨보세요","복숭아의 수분을 얼려 과즙 당도를 높인 아이스와인 스타일","연어샐러드,리코타치즈,마들렌",4,4,2,0,0
"wine","무주 구천동 산머루주","https://www.sooldamhwa.com/damhwaMarket/detail/1529","images/wine_3.jpg","직접 수확한 산머루로 만든 주정 강화 와인",4.9,16,"과실주","16%","360ml, 750ml","진한 포도 주스 향을 풍겨요","술맛을 헤치지 않을 풍미가 약한 음식을 추천해요","발효가 끝난 뒤 주정을 넣어 도수를 높여요","리코타치즈,견과류,닭가슴살 샐러드",5,3,4,0,1
"wine","제주, 유채","https://www.sooldamhwa.com/damhwaMarket/detail/1214","images/wine_4.jpg","제주도의 유채꽃을 채취하여 만든 발효주",4.7,123,"기타주류","14%","375ml","달콤한 화이트 와인을 연상시켜요","감칠맛이 짙은 음식과 드셔보세요","제주도 서귀포 지역의 유채꽃으로 만들어요","리코타치즈,문어 숙회,버터 갈릭 새우",4,2,2,0,0
"wine","심쿵하리 사과","https://www.sooldamhwa.com/damhwaMarket/detail/1551","images/wine_5.jpg","청량감을 더해주는 달콤 구수한 사과 스파클링 과실주",5,2,"기타주류","4.5%","375ml","사과의 풍미가 강하게 담겨있어요","매콤한 음식과 야식으로 즐겨보세요","농가에서 버려지는 못난이 사과로 만들어요","마라탕,베이컨,양념 치킨",3,1,2,2,0
"wine","요새로제","https://www.sooldamhwa.com/damhwaMarket/detail/222","images/wine_6.jpg","오미자와 사과를 블렌딩한 샴페인같은 로제 시드르",4.8,87,"과실주","6.40%","750ml","라즈베리의 달짝지근한 향과 새콤한 맛","담백하거나 살짝 달콤한 음식과 즐겨보세요","오미자, 라즈베리, 사과가 블렌딩된 애플사이더","물회,라자냐,치즈 케이크",4,4,3,3,1
"wine","금이산 복숭아 와인","https://www.sooldamhwa.com/damhwaMarket/detail/352","images/wine_7.jpg","달콤한 복숭아 한가득 들어간 복숭아 와인",4.9,62,"과실주","12.00%","375ml","새콤달콤한 복숭아 과실맛","달콤한 디저트와 잘 어울려요","세종시 조치원 복숭아만을 선별하여 저온 발효시켜 만든 와인","롤 케이크,마들렌,광어회",4,2,3,0,0
"wine","신애유자","https://www.sooldamhwa.com/damhwaMarket/detail/1111","images/wine_8.jpg","홍신애 요리연구소 X 댄싱사이더",4.8,57,"과실주","5.00%","330ml","레모네이드 같이 싱그러운 새콤함","부담 없이 기름진 음식과 즐겨 보세요","홍신애 요리연구가님과 콜라보 한 유자 사이더","닭가슴살 샐러드,양념 치킨,페퍼로니 피자",3,4,3,3,0
"wine","스윗마마","https://www.sooldamhwa.com/damhwaMarket/detail/220","images/wine_9.jpg","사과보다 더 진한 달달한 사과맛 사이다",4.9,54,"과실주","5.50%","330ml","사과의 진한 달콤함과 시원한 탄산의 환상적인 콜라보","달콤한 디저트와 가볍게 즐겨보세요","달콤한 사과 2개가 한 병에 가득!","카프레제,호두파이,비빔면",4,4,3,2,0
